cx-timeseriesid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_other,53,130.73,7.86,67.71,153.38,35.92,128.6,30.61,37.29,86.45,0,77.17,0,64.13,122.66,27.82,0,10.13,18.9,0,0,0,41.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_youtube_daily,98.5,0,284.82,150.05,0,261.89,44.89,0,0,0,0,0,23.67,0,0,0,0,96.61,38.97,0,91.72,0,55.94,47.41,0,0,0,0,279.93,0,0,0,158.66,0,114.93,0,0,147.77,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,112.44,17.05,0,53.57,0,0,0,0,0,0,0,0,52.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_facebook_daily,79.42,72.61,72.15,82.82,61.06,57.91,55.59,56.46,50.07,47.65,34.87,43.82,30.76,23.7,20.36,21.03,25,27.88,18.49,24.19,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_tiktok_daily,53.22,65.8,52.87,59.78,50.75,52.37,44.12,40.88,44.82,0,0,0,0,0,0,0,0,11.72,5.22,0.59,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_whatsapp_daily,0,4.18,20.33,7.89,18.37,7.17,5.22,12.77,4.63,17.34,10.47,6.67,3.6,8.44,21.32,10.04,10.22,13.2,6.9,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,9.1,0,4.25,1.86,10.73,0,0,0.17,7.85,2.79,9.54,12.08,3.56,0,3.79,4.03,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,1.19,5.16,0,0,0,0,0,2.31,0,0,0,1.22,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_app_helakuru_daily,25.92,12.67,0,32.72,1.56,26.49,0,17.72,0,63.31,16.17,8.13,0,15.67,0.91,9.4,0,4.21,0,25.42,15.78,0,53.73,0,16.81,31.74,22.77,0,0,0,23.95,0,22.75,0,5.85,24.06,0,0,0,5.67,0,1.38,0,0,15.63,0,13.08,0,0,4.06,5.58,4.67,0,0,1.48,0,0,0,0,11.03,0,0,16.69,0,9.84,0,2.98,0,19.75,4.73,33.22,0,0,2.58,0,0,0,0,0,7.65,8.41,0,1.63,17.21,5.22,0,19.59,22.63,0,29.62
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_voice_d2d_outgoing,18.7,31.26,23.55,24.57,25.31,27.55,22.21,28.95,29.77,29.45,28.54,28.44,28.36,29.75,28.64,30.65,27.39,33.89,37.23,39.8,0,0,4.23,2.78,0,0,5.73,6.79,12.64,4.33,4.87,16.76,9.99,11.14,10.69,18.5,9.05,9.98,10.18,58.74,49.03,50.28,69.94,55.9,60.56,64.85,60.69,66.28,65.27,69.9,71.08,63.08,66.05,70.75,76.05,72.61,71.16,71.07,70.28,33.86,35.57,39.49,34.93,40.57,33.24,35.92,36.51,43.9,33.29,43.79,39.58,42.97,48.38,41.54,46.86,44.01,48.33,53,83.88,101.57,89.75,96.37,100.26,92.31,100.27,94.69,95.86,94.35,101.72,95.24
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_voice_d2nd_outgoing,34.17,36.79,40.29,24.56,0,62.36,11.17,18.77,19.46,0,5.57,19.59,27.49,19.1,31.68,25.42,17.23,37.02,13.72,6.26,26.64,29.61,0,37.05,0,36.57,16.54,1.52,2.82,28.81,14.16,2.24,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,23.48,0,25.18,0,0,0,0,0,0,7.57,8.48,0,0,0,25.06,20.59,0,18.05
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_voice_d2d_incoming,42.33,19.14,44.6,25.89,54.83,0,87.88,28.69,16.79,3.19,25.14,0.83,0,0.83,0,0,0,0,0,0,0,0,36.56,5.92,31.19,12.64,0,10.77,26.64,0,0,5.08,25.09,0,0,0,0,0,0,0,0,0,0,0,0,7.59,55.65,24.28,0,23.52,0,0,25.6,30.99,0,0,0,11.09,0,0,0,0,0,0,0,0,0,9.88,9.65,0,1.21,20.38,0,21.79,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_voice_nd2d_incoming,21.5,17.17,16.66,19.12,17.08,17.82,13.52,16.24,12.57,11.4,11.14,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
